"strategy","domain","permunation","idna"
"Addition","requests","requestsa","requestsa"
"Addition","requests","requestsb","requestsb"
"Addition","requests","requestsc","requestsc"
"Addition","requests","requestsd","requestsd"
"Addition","requests","requestse","requestse"
"Addition","requests","requestsf","requestsf"
"Addition","requests","requestsg","requestsg"
"Addition","requests","requestsh","requestsh"
"Addition","requests","requestsi","requestsi"
"Addition","requests","requestsj","requestsj"
"Addition","requests","requestsk","requestsk"
"Addition","requests","requestsl","requestsl"
"Addition","requests","requestsm","requestsm"
"Addition","requests","requestsn","requestsn"
"Addition","requests","requestso","requestso"
"Addition","requests","requestsp","requestsp"
"Addition","requests","requestsq","requestsq"
"Addition","requests","requestsr","requestsr"
"Addition","requests","requestss","requestss"
"Addition","requests","requestst","requestst"
"Addition","requests","requestsu","requestsu"
"Addition","requests","requestsv","requestsv"
"Addition","requests","requestsw","requestsw"
"Addition","requests","requestsx","requestsx"
"Addition","requests","requestsy","requestsy"
"Addition","requests","requestsz","requestsz"
"BitSquatting","requests","requests","requests"
"BitSquatting","requests","sequests","sequests"
"BitSquatting","requests","pequests","pequests"
"BitSquatting","requests","qequests","qequests"
"BitSquatting","requests","vequests","vequests"
"BitSquatting","requests","wequests","wequests"
"BitSquatting","requests","tequests","tequests"
"BitSquatting","requests","uequests","uequests"
"BitSquatting","requests","rdquests","rdquests"
"BitSquatting","requests","rgquests","rgquests"
"BitSquatting","requests","rfquests","rfquests"
"BitSquatting","requests","raquests","raquests"
"BitSquatting","requests","rcquests","rcquests"
"BitSquatting","requests","rbquests","rbquests"
"BitSquatting","requests","repuests","repuests"
"BitSquatting","requests","resuests","resuests"
"BitSquatting","requests","reruests","reruests"
"BitSquatting","requests","reuuests","reuuests"
"BitSquatting","requests","retuests","retuests"
"BitSquatting","requests","rewuests","rewuests"
"BitSquatting","requests","revuests","revuests"
"BitSquatting","requests","reqtests","reqtests"
"BitSquatting","requests","reqwests","reqwests"
"BitSquatting","requests","reqvests","reqvests"
"BitSquatting","requests","reqqests","reqqests"
"BitSquatting","requests","reqpests","reqpests"
"BitSquatting","requests","reqsests","reqsests"
"BitSquatting","requests","reqrests","reqrests"
"BitSquatting","requests","requdsts","requdsts"
"BitSquatting","requests","requgsts","requgsts"
"BitSquatting","requests","requfsts","requfsts"
"BitSquatting","requests","requasts","requasts"
"BitSquatting","requests","requcsts","requcsts"
"BitSquatting","requests","requbsts","requbsts"
"BitSquatting","requests","requerts","requerts"
"BitSquatting","requests","requeqts","requeqts"
"BitSquatting","requests","requepts","requepts"
"BitSquatting","requests","requewts","requewts"
"BitSquatting","requests","requevts","requevts"
"BitSquatting","requests","requeuts","requeuts"
"BitSquatting","requests","requetts","requetts"
"BitSquatting","requests","requesus","requesus"
"BitSquatting","requests","requesvs","requesvs"
"BitSquatting","requests","requesws","requesws"
"BitSquatting","requests","requesps","requesps"
"BitSquatting","requests","requesqs","requesqs"
"BitSquatting","requests","requesrs","requesrs"
"BitSquatting","requests","requesss","requesss"
"BitSquatting","requests","requestr","requestr"
"BitSquatting","requests","requestq","requestq"
"BitSquatting","requests","requestp","requestp"
"BitSquatting","requests","requestw","requestw"
"BitSquatting","requests","requestv","requestv"
"BitSquatting","requests","requestu","requestu"
"BitSquatting","requests","requestt","requestt"
"Homoglyph","requests","ʀequests","xn--equests-bmd"
"Homoglyph","requests","ｒequests","xn--equests-w993b"
"Homoglyph","requests","Իequests","xn--equests-25h"
"Homoglyph","requests","réquests","xn--rquests-bya"
"Homoglyph","requests","rêquests","xn--rquests-jya"
"Homoglyph","requests","rëquests","xn--rquests-rya"
