Found 803 typosquatting victims from the dataset.
Running candidate generator...
Time to generate candidates for 1_as_identity_function: 0:00:02.021771
Time to generate candidates for 37-pieces-of-flair: 0:00:02.923138
Time to generate candidates for 3months_staff_schedule: 0:00:02.483162
Time to generate candidates for 3scale_client: 0:00:02.962619
Time to generate candidates for 3scale_time_range: 0:00:02.497172
Time to generate candidates for 99designs-tasks: 0:00:03.031958
Time to generate candidates for @angular/cli: 0:00:02.595982
Time to generate candidates for ActiveAdmin-Globalize3-inputs: 0:00:03.125804
Time to generate candidates for N/A: 0:00:03.355939
Time to generate candidates for a-test-gem: 0:00:03.035336
Time to generate candidates for a1330ks_bmi: 0:00:03.220755
Time to generate candidates for a1408nw_Ounennhei: 0:00:02.451767
Time to generate candidates for a1409yo_health: 0:00:13.879762
Time to generate candidates for a1412tk_bmi: 0:00:03.042185
Time to generate candidates for a1420ks_bmi: 0:00:02.738273
Time to generate candidates for a1426kt_prime_number: 0:00:03.000680
Time to generate candidates for a1436mm_age: 0:00:02.579897
Time to generate candidates for a1437ky_bmi3: 0:00:02.898697
Time to generate candidates for a1439ty_bmiV3: 0:00:03.209832
Time to generate candidates for a1447ll_hpbd: 0:00:03.302979
Time to generate candidates for a1447ll_mini_test: 0:00:03.067179
Time to generate candidates for a1447ll_test: 0:00:06.676408
Time to generate candidates for a14z6ch_elapsed_days: 0:00:03.612311
