Found 803 typosquatting victims from the dataset.
Running candidate generator...
Time to generate candidates for atlas_client: 0:00:00.297560
Time to generate candidates for appium_lib: 0:00:00.350264
Time to generate candidates for action_mailer_cache_delivery: 0:00:00.293621
Time to generate candidates for activemodel-validators: 0:00:00.284612
Time to generate candidates for asciidoctor-bibliography: 0:00:00.286546
Time to generate candidates for assets_pipeline: 0:00:00.294677
Time to generate candidates for apress-validators: 0:00:00.336870
Time to generate candidates for ar-octopus-replication-tracking: 0:00:00.286649
Time to generate candidates for aliyun_open_search: 0:00:00.316230
Time to generate candidates for aliyun_mns: 0:00:00.292080
Time to generate candidates for ab-split: 0:00:00.267387
Time to generate candidates for apns_polite: 0:00:00.363224
Time to generate candidates for alephant-publisher: 0:00:00.271369
Time to generate candidates for alephant-publisher-queue: 0:00:00.302018
Time to generate candidates for alephant-publisher-request: 0:00:00.294784
Time to generate candidates for abbyy-ruby: 0:00:00.319346
Time to generate candidates for accredible-api-ruby: 0:00:00.299250
Time to generate candidates for accredible-ruby: 0:00:00.312942
Time to generate candidates for adequate_serializer: 0:00:00.288760
Time to generate candidates for algolia_places: 0:00:00.318492
Time to generate candidates for alidayu: 0:00:00.295770
Time to generate candidates for alias_helper: 0:00:00.301156
Time to generate candidates for alidns-ruby: 0:00:00.289529
Time to generate candidates for access_lint: 0:00:00.281533
Time to generate candidates for aligned_table: 0:00:00.312994
Time to generate candidates for alipay_dualfun: 0:00:00.316976
Time to generate candidates for accesslint-ci: 0:00:00.309653
Time to generate candidates for ach_client: 0:00:00.283238
Time to generate candidates for acme-cli: 0:00:00.304473
Time to generate candidates for ardm-validations: 0:00:00.325495
Time to generate candidates for alipay_escrow: 0:00:00.345385
Time to generate candidates for action_links: 0:00:00.302786
Time to generate candidates for banner_jobsub: 0:00:00.297525
Time to generate candidates for actionmailer_inline_css: 0:00:00.326860
Time to generate candidates for actionview-link_to_blank: 0:00:00.307508
Time to generate candidates for actionview-link_to_block: 0:00:00.295913
Time to generate candidates for adapter-sqlite3: 0:00:00.312617
Time to generate candidates for active-profiling: 0:00:00.267423
Time to generate candidates for active_subset_validator: 0:00:00.284163
Time to generate candidates for active_admin-duplicatable: 0:00:00.270299
Time to generate candidates for aliyun-odps: 0:00:00.292299
Time to generate candidates for aliyun-push: 0:00:00.279813
Time to generate candidates for aliyunsdkcore: 0:00:00.290989
Time to generate candidates for active_comparison_validator: 0:00:00.268422
Time to generate candidates for active_delivery: 0:00:00.288798
Time to generate candidates for active_hash-like: 0:00:00.313777
Time to generate candidates for active_link_to: 0:00:00.297202
Time to generate candidates for active_merchant_mollie: 0:00:00.309190
Time to generate candidates for aliyun_live: 0:00:00.294199
Time to generate candidates for backbone-subroute-rails: 0:00:00.296629
